station1,station2,distance,double_direction
国贸,双井,1760,1
双井,劲松,1033,1
劲松,潘家园,1021,1
潘家园,十里河,1073,1
十里河,分钟寺,1803,1
分钟寺,成寿寺,1060,1
成寿寺,宋家庄,1675,1
宋家庄,石榴庄,1273,1
石榴庄,大红门,1244,1
大红门,角门东,1124,1
角门东,角门西,1259,1
角门西,草桥,1688,1
草桥,纪家庙,1550,1
纪家庙,首经贸,1119,1
首经贸,丰台站,1717,1
丰台站,泥洼,954,1
泥洼,西局,749,1
西局,六里桥,1587,1
六里桥,莲花桥,2365,1
莲花桥,公主坟,1041,1
公主坟,西钓鱼台,2386,1
西钓鱼台,慈寿寺,1215,1
慈寿寺,车道沟,1591,1
车道沟,长春桥,1206,1
长春桥,火器营,778,1
火器营,巴沟,1441,1
金安桥,北辛安,689,1
北辛安,新首钢,850,1
西直门,大钟寺,2839,1
大钟寺,知春路,1206,1
知春路,五道口,1829,1
五道口,上地,4866,1
上地,清河站,1018,1
清河站,西二旗,1545,1
西二旗,龙泽,3623,1
龙泽,回龙观,1423,1
回龙观,霍营,2110,1
霍营,立水桥,4786,1
立水桥,北苑,2272,1
北苑,望京西,6720,1
望京西,芍药居,2152,1
芍药居,光熙门,1110,1
光熙门,柳芳,1135,1
柳芳,东直门,1769,1
张郭庄,园博园,1345,1
园博园,大瓦窑,4073,1
大瓦窑,郭庄子,1236,1
郭庄子,大井,2044,1
大井,七里庄,1579,1
七里庄,西局,845,1
西局,东管头,1489,1
东管头,丽泽商务区,958,1
丽泽商务区,菜户营,828,1
菜户营,西铁营,1462,1
西铁营,景风门,883,1
景风门,北京南站,1164,1
北京南站,陶然桥,887,1
陶然桥,永定门外,1119,1
永定门外,景泰,1025,1
景泰,蒲黄榆,1025,1
蒲黄榆,方庄,1486,1
方庄,十里河,1618,1
十里河,南八里庄,1147,1
南八里庄,北工大西门,1276,1
北工大西门,平乐园,1128,1
平乐园,九龙山,897,1
九龙山,大望路,1780,1
大望路,红庙,708,1
红庙,金台路,894,1
金台路,朝阳公园,1085,1
朝阳公园,枣营,1221,1
枣营,东风北桥,2173,1
东风北桥,将台,1600,1
将台,高家园,1171,1
高家园,望京南,676,1
望京南,阜通,1168,1
阜通,望京,903,1
望京,东湖渠,1283,1
东湖渠,来广营,1100,1
来广营,善各庄,1364,1
清华东路西口,六道口,1145,1
六道口,北沙滩,1337,1
北沙滩,奥林匹克公园,1999,1
奥林匹克公园,安立路,1369,1
安立路,大屯路东,938,1
大屯路东,关庄,1087,1
关庄,望京西,2039,1
望京西,望京,1759,1
望京,望京东,1652,1
望京东,崔各庄,2295,1
崔各庄,马泉营,2009,1
马泉营,孙河,3309,1
孙河,国展,3387,1
国展,花梨坎,1616,1
花梨坎,后沙峪,3354,1
后沙峪,南法信,4567,1
南法信,石门,2712,1
石门,顺义,1332,1
顺义,俸伯,2411,1
北安河,温阳路,2653,1
温阳路,稻香湖路,2310,1
稻香湖路,屯佃,2352,1
屯佃,永丰,1961,1
永丰,永丰南,1315,1
永丰南,西北旺,2108,1
西北旺,马连洼,2196,1
马连洼,农大南路,1517,1
农大南路,西苑,2690,1
西苑,万泉河桥,1980,1
万泉河桥,苏州街,1486,1
苏州街,苏州桥,1497,1
苏州桥,万寿寺,1610,1
万寿寺,国家图书馆,1721,1
国家图书馆,二里沟,1589,1
二里沟,甘家口,1046,1
甘家口,玉渊潭东门,970,1
玉渊潭东门,木樨地,565,1
木樨地,达官营,2004,1
达官营,红莲南路,1552,1
红莲南路,丽泽商务区,1241,1
丽泽商务区,东管头南,1803,1
东管头南,丰台站,1794,1
丰台站,丰台南路,1420,1
